UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 22:30 ?        00:00:06 init 
root         2     0  0 22:30 ?        00:00:00 [kthreadd]
root         3     2  0 22:30 ?        00:00:00 [ksoftirqd/0]
root         4     2  0 22:30 ?        00:00:00 [kworker/0:0]
root         6     2  0 22:30 ?        00:00:00 [kworker/u8:0]
root         7     2  0 22:30 ?        00:00:01 [rcu_preempt]
root         8     2  0 22:30 ?        00:00:00 [rcu_sched]
root         9     2  0 22:30 ?        00:00:00 [rcu_bh]
root        10     2  0 22:30 ?        00:00:00 [migration/0]
root        11     2  0 22:30 ?        00:00:00 [lru-add-drain]
root        12     2  0 22:30 ?        00:00:00 [cpuhp/0]
root        13     2  0 22:30 ?        00:00:00 [cpuhp/1]
root        14     2  0 22:30 ?        00:00:00 [migration/1]
root        15     2  0 22:30 ?        00:00:00 [ksoftirqd/1]
root        18     2  0 22:30 ?        00:00:00 [cpuhp/2]
root        19     2  0 22:30 ?        00:00:00 [migration/2]
root        20     2  0 22:30 ?        00:00:00 [ksoftirqd/2]
root        22     2  0 22:30 ?        00:00:00 [kworker/2:0H]
root        23     2  0 22:30 ?        00:00:00 [cpuhp/3]
root        24     2  0 22:30 ?        00:00:00 [migration/3]
root        25     2  0 22:30 ?        00:00:00 [ksoftirqd/3]
root        26     2  0 22:30 ?        00:00:03 [kworker/3:0]
root        27     2  0 22:30 ?        00:00:00 [kworker/3:0H]
root        28     2  0 22:30 ?        00:00:00 [kdevtmpfs]
root        29     2  0 22:30 ?        00:00:00 [netns]
root       292     2  0 22:30 ?        00:00:00 [oom_reaper]
root       293     2  0 22:30 ?        00:00:00 [writeback]
root       295     2  0 22:30 ?        00:00:00 [kcompactd0]
root       296     2  0 22:30 ?        00:00:00 [ksmd]
root       297     2  0 22:30 ?        00:00:00 [khugepaged]
root       298     2  0 22:30 ?        00:00:00 [crypto]
root       299     2  0 22:30 ?        00:00:00 [kintegrityd]
root       300     2  0 22:30 ?        00:00:00 [bioset]
root       302     2  0 22:30 ?        00:00:00 [kblockd]
root       305     2  0 22:30 ?        00:00:00 [kworker/1:1]
root       579     2  0 22:30 ?        00:00:00 [ata_sff]
root       597     2  0 22:30 ?        00:00:00 [devfreq_wq]
root       697     2  0 22:30 ?        00:00:00 [rpciod]
root       698     2  0 22:30 ?        00:00:00 [xprtiod]
root       738     2  0 22:30 ?        00:00:00 [kswapd0]
root       740     2  0 22:30 ?        00:00:00 [vmstat]
root       836     2  0 22:30 ?        00:00:00 [nfsiod]
root       839     2  0 22:30 ?        00:00:00 [cifsiod]
root       847     2  0 22:30 ?        00:00:00 [bioset]
root       856     2  0 22:30 ?        00:00:00 [xfsalloc]
root       857     2  0 22:30 ?        00:00:00 [xfs_mru_cache]
root       888     2  0 22:30 ?        00:00:00 [kthrotld]
root       910     2  0 22:30 ?        00:00:00 [kworker/u8:3]
root       912     2  0 22:30 ?        00:00:00 [acpi_thermal_pm]
